idx,generation,n,r,w,nPerRound,num_steps,mean_p,mean_q
0,0,100,50,0,2,100,0.499508905986207,0.43466332190660223
0,0,100,50,0,3,100,0.5537394949158336,0.28107864340339517
0,0,100,50,0,4,100,0.5555138612149597,0.35225580443481985
0,0,100,50,0,5,100,0.6054067237299241,0.34000202865891305
0,0,100,50,0,10,100,0.6121949353846233,0.2442772518237647
0,0,100,50,0.05,2,100,0.5351880011754129,0.45799774611545097
0,0,100,50,0.05,3,100,0.4624289452619727,0.28636461847839295
0,0,100,50,0.05,4,100,0.48864204145712337,0.2988825004163303
0,0,100,50,0.05,5,100,0.6163367683898879,0.313950298293435
0,0,100,50,0.05,10,100,0.5575508568792302,0.4579515113641525
0,0,100,50,0.1,2,100,0.5027616117467838,0.44431426578179567
0,0,100,50,0.1,3,100,0.5170717247348273,0.34812922968882
0,0,100,50,0.1,4,100,0.527383452369175,0.4077885179847874
0,0,100,50,0.1,5,100,0.46613457904954403,0.35900156533425986
0,0,100,50,0.1,10,100,0.443320794382617,0.4223614654360561
0,0,100,50,0.15,2,100,0.5506318892391974,0.421431699034368
0,0,100,50,0.15,3,100,0.551233169348677,0.30782234275225623
0,0,100,50,0.15,4,100,0.4854920282954275,0.3922574135547229
0,0,100,50,0.15,5,100,0.4439744755855959,0.28727240530229214
0,0,100,50,0.15,10,100,0.44800688115859694,0.22478806229080095
0,0,100,50,0.2,2,100,0.5121609091772225,0.4577836003653225
0,0,100,50,0.2,3,100,0.5830586890209075,0.3746474224073672
0,0,100,50,0.2,4,100,0.5318177496865674,0.4155065499792949
0,0,100,50,0.2,5,100,0.41359320953705875,0.35724979431548115
0,0,100,50,0.2,10,100,0.5579816809644838,0.3214331887736123
0,0,100,50,0.25,2,100,0.5634143854855683,0.39317255394832046
0,0,100,50,0.25,3,100,0.5772230337706855,0.35857837993327374
0,0,100,50,0.25,4,100,0.5183739736163789,0.39791686341987015
0,0,100,50,0.25,5,100,0.5715797237355612,0.2997919077593563
0,0,100,50,0.25,10,100,0.46381739489946017,0.4727663780595481
0,0,100,50,0.3,2,100,0.5488087481079227,0.4591320704728395
0,0,100,50,0.3,3,100,0.5944393796994878,0.3295718255020514
0,0,100,50,0.3,4,100,0.5573273000696554,0.4109004867516688
0,0,100,50,0.3,5,100,0.5560160852430897,0.25609329903115663
0,0,100,50,0.3,10,100,0.5326346680693882,0.5124866193646733
0,0,100,50,0.35,2,100,0.5504068892363188,0.5213648594890664
0,0,100,50,0.35,3,100,0.5394778759188689,0.3556162111058955
0,0,100,50,0.35,4,100,0.46637666312911835,0.39772295385132195
0,0,100,50,0.35,5,100,0.5350062186670814,0.3293473977966012
0,0,100,50,0.35,10,100,0.40094660125417997,0.4786878844277609
0,0,100,50,0.4,2,100,0.5761426981439626,0.4667320412622039
0,0,100,50,0.4,3,100,0.42327291059216243,0.34138446054461463
0,0,100,50,0.4,4,100,0.5403495713192694,0.4097924194353524
0,0,100,50,0.4,5,100,0.4790461728438359,0.28288202170915056
0,0,100,50,0.4,10,100,0.543066773810848,0.490844577626869
0,0,100,50,0.45,2,100,0.6513410312012802,0.46110800267711566
0,0,100,50,0.45,3,100,0.5161259966632159,0.35688973865412565
0,0,100,50,0.45,4,100,0.5580754561625938,0.35569697524459576
0,0,100,50,0.45,5,100,0.5836818101793657,0.33584004879758533
0,0,100,50,0.45,10,100,0.46669064122583637,0.3192957837497349
0,0,100,50,0.5,2,100,0.6219498596126893,0.4753970792900812
0,0,100,50,0.5,3,100,0.5507382727227886,0.38128379097329423
0,0,100,50,0.5,4,100,0.5515813347763864,0.3629276584826135
0,0,100,50,0.5,5,100,0.5730049324260558,0.31384818827134014
0,0,100,50,0.5,10,100,0.5401348229910425,0.3020526433903754
0,1,100,50,0,2,100,0.49699612752830097,0.3655094304257289
0,1,100,50,0,3,100,0.5773818039060585,0.2425680842802672
0,1,100,50,0,4,100,0.5745982369919582,0.2659384581290017
0,1,100,50,0,5,100,0.6142088481219615,0.24114278783155538
0,1,100,50,0,10,100,0.6817995026458488,0.15853369525730637
0,1,100,50,0.05,2,100,0.5116147000997594,0.3803716096439151
0,1,100,50,0.05,3,100,0.45211782223086255,0.2520085206301931
0,1,100,50,0.05,4,100,0.5108781309848281,0.25400603065777116
0,1,100,50,0.05,5,100,0.6281553433721291,0.2514984092776437
0,1,100,50,0.05,10,100,0.5577235007324675,0.38924943118408917
0,1,100,50,0.1,2,100,0.5323912342452004,0.39557871765496094
0,1,100,50,0.1,3,100,0.5246916106590618,0.31594166079581554
0,1,100,50,0.1,4,100,0.5630768648982497,0.3868717248922973
0,1,100,50,0.1,5,100,0.5464633469384494,0.2818972337448465
0,1,100,50,0.1,10,100,0.44633282688147313,0.3735038691103836
0,1,100,50,0.15,2,100,0.555581846566012,0.4217423784800385
0,1,100,50,0.15,3,100,0.6038784023992047,0.26272381438323583
0,1,100,50,0.15,4,100,0.49130287655031313,0.32377709251134484
0,1,100,50,0.15,5,100,0.5087287106413865,0.2611712426126512
0,1,100,50,0.15,10,100,0.450061861279949,0.14391683282236056
0,1,100,50,0.2,2,100,0.5544055238529336,0.47145925748396034
0,1,100,50,0.2,3,100,0.6114931265669068,0.3600831833141425
0,1,100,50,0.2,4,100,0.49950944575523165,0.3351046347622163
0,1,100,50,0.2,5,100,0.44632430159494535,0.30689496147877177
0,1,100,50,0.2,10,100,0.5416738815072057,0.24834321047534783
0,1,100,50,0.25,2,100,0.6037805973610558,0.31090192862870647
0,1,100,50,0.25,3,100,0.6286564055698302,0.3231431693084901
0,1,100,50,0.25,4,100,0.5240602302906054,0.2605138896121477
0,1,100,50,0.25,5,100,0.5640922255040277,0.28003842339248924
0,1,100,50,0.25,10,100,0.464179022956977,0.45821085966014435
0,1,100,50,0.3,2,100,0.5947899833088969,0.4507024935262025
0,1,100,50,0.3,3,100,0.6562363592699322,0.26552725724581605
0,1,100,50,0.3,4,100,0.5398316595168056,0.2863935774390376
0,1,100,50,0.3,5,100,0.6298987089689327,0.22646112816754763
0,1,100,50,0.3,10,100,0.5237355967904838,0.5518343658785803
0,1,100,50,0.35,2,100,0.5936015275020199,0.4861635373605317
0,1,100,50,0.35,3,100,0.5773481067657097,0.3324326209932958
0,1,100,50,0.35,4,100,0.4887673153579962,0.3067176144362824
0,1,100,50,0.35,5,100,0.5616740847840894,0.25283236439960405
0,1,100,50,0.35,10,100,0.41337938842781285,0.4128375173890458
0,1,100,50,0.4,2,100,0.6244447823938816,0.48590165628661575
0,1,100,50,0.4,3,100,0.4894951220431065,0.38410571095285706
0,1,100,50,0.4,4,100,0.605590134873435,0.29530564620698546
0,1,100,50,0.4,5,100,0.5221553409823317,0.2084940495004235
0,1,100,50,0.4,10,100,0.49889128159083357,0.5055013835517778
0,1,100,50,0.45,2,100,0.6902611773348646,0.4918145253172673
0,1,100,50,0.45,3,100,0.5680297122585933,0.33235064590384494
0,1,100,50,0.45,4,100,0.5313937340169297,0.3074336680275536
0,1,100,50,0.45,5,100,0.5818749331737354,0.2725728054525427
0,1,100,50,0.45,10,100,0.4819329968194173,0.24045888416953573
0,1,100,50,0.5,2,100,0.6604716243261325,0.45418482894118156
0,1,100,50,0.5,3,100,0.5782362270603056,0.3462968787295202
0,1,100,50,0.5,4,100,0.5599630397383121,0.3417144286194962
0,1,100,50,0.5,5,100,0.6037538054104377,0.28550441169826063
0,1,100,50,0.5,10,100,0.4857235455053187,0.21034485881408851
